100% Merinowolle,3 mm,"2,61",drops-baby-merino-mix
100% Acryl,4 mm,"2,70",stylecraft-special-dk
100% Baumwolle,8 mm,"8,46",dmc-natura-xl
100% Baumwolle,3 mm,"1,10",drops-safran
